DOI,Year,Keywords,MeSH Terms,Major Topics,Subheadings
10.1371/journal.pone.0039337,2012,N/A,"Africa, Eastern; Conservation Of Natural Resources; Forestry; Humans; Linear Models; Population Density; Satellite Communications; Trees",Conservation Of Natural Resources,Growth & Development
10.1073/pnas.1013332108,2011,N/A,Conservation Of Natural Resources; Ecosystem; Family Characteristics; Geography; Poverty; Time Factors; Trees; Uganda,Ecosystem,Economics; Economics; Growth & Development
10.1098/rspb.2023.0026,2023,Okinawa Island; coral reef survey; direct diving observation; environmental DNA barcoding method,"Animals; Anthozoa; Ecosystem; Dna, Environmental; Dna Barcoding, Taxonomic; Coral Reefs","Anthozoa; Dna, Environmental",Genetics
10.7717/peerj.3573,2017,Coral reef; Japan; Mesophotic; Pachyseris; Shifting communities; Succession; Typhoon recovery,N/A,N/A,N/A
10.1371/journal.pone.0101204,2014,N/A,Animals; Australia; Biodiversity; Coral Reefs,Biodiversity; Coral Reefs,N/A
10.1073/pnas.0706905105,2008,N/A,Australia; Conservation Of Natural Resources; Ecosystem; Marine Biology,Conservation Of Natural Resources; Ecosystem,Methods
10.1111/jfb.14176,2021,WFD; Water Framework Directive; eDNA; fish-based assessment methods; rivers,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; European Union; Fishes; Rivers",N/A,Methods; Standards; Trends; Genetics; Methods; Genetics; Chemistry
10.1371/journal.pone.0088786,2014,N/A,Animals; Aquatic Organisms; Dna; Daphnia; Environment; Environmental Monitoring; Geography; Lakes; Polymerase Chain Reaction; Population Dynamics; Rivers; Switzerland; Unio; Water,Daphnia; Unio,Analysis; Methods; Methods; Chemistry; Chemistry
10.1002/eap.2730,2023,Laurentian Great Lakes; eDNA; early detection; non-indigenous species; sequence coverage; species specificity; threatened and endangered species,"Animals; Introduced Species; Dna, Environmental; Dna Barcoding, Taxonomic; Environmental Monitoring; Biodiversity; Fishes","Introduced Species; Dna, Environmental",Methods; Methods; Genetics
10.1002/ece3.10669,2023,Aurelia coerulea; environmental DNA metabarcoding; jellyfish blooms; quantitative PCR,N/A,N/A,N/A
10.1002/ece3.9549,2022,bulk‐sample DNA; community composition; coral reef; environmental DNA; foraminifera; metabarcoding,N/A,N/A,N/A
10.1038/s41598-018-20833-z,2018,N/A,"Atlantic Ocean; Biodiversity; Dna, Ribosomal; Ecosystem; Foraminifera; High-Throughput Nucleotide Sequencing; Indian Ocean; Plankton; Rna, Ribosomal, 18S",Biodiversity; Foraminifera; Plankton,Genetics; Classification; Genetics; Methods; Classification; Genetics; Genetics
10.1038/s41598-019-42455-9,2019,N/A,"Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Seawater; Sequence Analysis, Dna",Biodiversity; Seawater,Methods; Genetics
10.1038/s41598-018-32680-z,2018,N/A,"Animals; Bathing Beaches; Canada; Dna; Dna Barcoding, Taxonomic; Environmental Monitoring; Escherichia Coli; Feces; Humans; Rain; Urbanization; Water Microbiology; Water Pollution",Bathing Beaches; Feces; Rain; Water Microbiology; Water Pollution,Analysis; Genetics; Genetics; Isolation & Purification
10.1128/AEM.07192-11,2012,N/A,"Animals; Bacteriological Techniques; Charadriiformes; Dna Primers; Dna, Bacterial; Enterococcaceae; Feces; Genes, Rrna; Molecular Sequence Data; Polymerase Chain Reaction; Rna, Ribosomal, 16S; Sensitivity And Specificity; Sequence Analysis, Dna; Streptococcus",N/A,Methods; Microbiology; Genetics; Chemistry; Genetics; Genetics; Microbiology; Methods; Chemistry; Genetics; Genetics
10.1038/s41598-023-44908-8,2023,N/A,"Animals; Dna, Environmental; Ecosystem; Amphipoda; Dna Barcoding, Taxonomic; Switzerland; Citizen Science; Biodiversity; Groundwater; Environmental Monitoring","Dna, Environmental; Amphipoda; Citizen Science; Groundwater",Genetics; Genetics; Methods; Methods
10.1371/journal.pone.0244682,2020,N/A,"Dna Barcoding, Taxonomic; Dna, Environmental; Dna, Fungal; Environmental Monitoring; Fungi; Mycobiome; Rna","Dna, Environmental; Fungi; Rna",Genetics; Genetics
10.7717/peerj.16075,2023,Adaptation; Chaetodon lunulatus; Coral reefs; Environmental DNA; Reef fish; South China Sea,"Animals; Ecosystem; Dna, Environmental; Coral Reefs; Anthozoa; Seawater","Dna, Environmental; Anthozoa",Genetics
10.1002/ece3.4809,2019,arthropods; eDNA; environmental DNA metabarcoding; flowers; grassland; insects; pollinators,N/A,N/A,N/A
10.1371/journal.pone.0142503,2015,N/A,"Animals; Black Widow Spider; Conservation Of Natural Resources; Dna; Dna Barcoding, Taxonomic; Dna Primers; Female; Fibroins; Gryllidae; Polymerase Chain Reaction; Predatory Behavior",N/A,Genetics; Genetics; Isolation & Purification; Methods; Chemical Synthesis; Genetics; Isolation & Purification; Genetics; Methods; Physiology
10.1186/1472-6785-13-44,2013,N/A,"Animals; Arctic Regions; Biodiversity; Dna Barcoding, Taxonomic; Electron Transport Complex Iv; Female; Gene Library; Genes, Mitochondrial; Male; Manitoba; Phylogeny; Spiders","Biodiversity; Dna Barcoding, Taxonomic; Phylogeny",Genetics; Anatomy & Histology; Classification; Genetics
10.1371/journal.pone.0047214,2012,N/A,"Animals; Arctic Regions; Dna Barcoding, Taxonomic; Genetic Variation; Geography; Lepidoptera; North America; Phylogeny; Species Specificity","Dna Barcoding, Taxonomic",Classification; Genetics
10.1093/molbev/msr121,2011,N/A,"Algorithms; Amino Acid Substitution; Bayes Theorem; Computational Biology; Computer Simulation; Data Mining; Databases, Genetic; Evolution, Molecular; Internet; Likelihood Functions; Models, Genetic; Molecular Biology; Mutation; Phylogeny; Sequence Alignment; Sequence Analysis, Dna; User-Computer Interface","Evolution, Molecular; Likelihood Functions; Models, Genetic",Methods; Methods; Methods
10.3389/fmicb.2021.637068,2021,Globisporangium; Phytophthora; Pythium; baiting; environmental DNA; plant pathogens,N/A,N/A,N/A
10.1016/j.cub.2021.12.014,2022,air filtration; air samplers; amplicon sequencing; bioaerosol; biodiversity; biomonitoring; conservation; eDNA; high-throughput sequencing; metabarcoding,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Humans; Mammals; Vertebrates","Dna, Environmental",Methods; Genetics; Methods; Genetics; Genetics
10.3389/fmicb.2017.01729,2017,air sampling; airborne; metabarcoding; plant pathogen; urban,N/A,N/A,N/A
10.1002/ece3.10088,2023,Dianchi Lake; environmental DNA metabarcoding; environmental variables; inflow rivers; phytoplankton community,N/A,N/A,N/A
10.1002/ece3.5207,2019,Poyang Lake; assemblage structure; environmental elements change; macrozoobenthos,N/A,N/A,N/A
10.7717/peerj.14993,2023,Best practices; Data accessibility; Data storage; Data usability; Environmental DNA; FAIR data principles; Marine; Metabarcoding; Metadata; Systematic review,"Dna, Environmental; Biodiversity; Dna Barcoding, Taxonomic","Dna, Environmental",N/A
10.1002/ece3.8995,2022,DNA metabarcoding; biomonitoring; eDNA; invasive species; reptile diversity; threatened species,N/A,N/A,N/A
10.7717/peerj.8155,2019,DNA degradation; Reptile; Species distribution; eDNA,N/A,N/A,N/A
10.1002/ece3.4843,2019,biodiversity assessment; eDNA; extraction; filtration; metabarcoding,N/A,N/A,N/A
10.1038/s41598-024-69043-w,2024,Benthic macroinvertebrates; Lagoon ecosystems; eDNA metabarcoding,"Animals; Invertebrates; Dna Barcoding, Taxonomic; Biodiversity; Ecosystem; Mediterranean Sea; Environmental Monitoring; Dna, Environmental","Invertebrates; Dna Barcoding, Taxonomic; Biodiversity; Ecosystem",Genetics; Classification; Methods; Methods; Genetics; Analysis
10.3897/BDJ.9.e67169,2021,Coastal-Marine Protected Areas; EUSAIR; European Adriatic-Ionian Macro-Region; NATURA 2000; non-indigenous species; protected species and habitats; traditional and innovative biomonitoring tools; transnational biodiversity geo-database.,N/A,N/A,N/A
10.1093/nar/gkad364,2023,N/A,"Biodiversity; Dna Barcoding, Taxonomic; Ecosystem; Internet; Phylogeny; High-Throughput Screening Assays; Dna, Environmental; Introduced Species; Mobile Applications","Dna Barcoding, Taxonomic; Ecosystem; Dna, Environmental; Introduced Species",Analysis
10.1371/journal.pone.0286228,2023,N/A,"Animals; Dna, Environmental; Zosteraceae; Dna Barcoding, Taxonomic; Ecosystem; Biodiversity; Fishes; Environmental Monitoring","Dna, Environmental; Zosteraceae",Genetics; Genetics; Genetics; Methods
10.1126/sciadv.abf5908,2021,N/A,"Animals; Cephalopoda; Dna, Environmental; Ecosystem; Predatory Behavior; Whales","Cephalopoda; Dna, Environmental",Genetics
10.1371/journal.pone.0092633,2014,N/A,"Animals; Behavior, Animal; Diving; Geography; Satellite Communications; Time Factors; Whales",N/A,Physiology; Physiology; Physiology
10.1007/s00227-009-1289-8,2009,N/A,N/A,N/A,N/A
10.1038/s41598-021-98926-5,2021,N/A,"Acoustics; Animals; Biodiversity; Dna Barcoding, Taxonomic; Ecosystem; Fisheries; Fishes; Japan; Oceanography; Phylogeny","Biodiversity; Dna Barcoding, Taxonomic; Phylogeny",Classification; Genetics
10.1002/ece3.2186,2016,Chao estimator; electrofishing; freshwater community; metabarcoding; species identity,N/A,N/A,N/A
10.1111/1755-0998.13671,2022,environmental DNA; environmental RNA; fish; freshwater; metabarcoding; seasonality,"Animals; Biodiversity; Dna; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fishes; Lakes; Nucleic Acids; Rna; Water","Dna, Environmental; Nucleic Acids",Genetics; Methods; Genetics; Methods; Genetics; Genetics; Genetics
10.1038/s42003-017-0005-3,2018,N/A,N/A,N/A,N/A
10.1371/journal.pone.0157366,2016,N/A,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Ecosystem; Environmental Monitoring; Fishes; Freshwater Biology; Lakes; Reproducibility Of Results; Rivers","Biodiversity; Dna Barcoding, Taxonomic",Methods; Genetics
10.7717/peerj.16963,2024,Biodiversity; Biotic index; Ecological health; Ecology; Taxon-independent analysis; eDNA,"Animals; Ecosystem; Dna, Environmental; Dna Barcoding, Taxonomic; Biodiversity; Rivers","Ecosystem; Dna, Environmental",Genetics; Methods
10.3390/ani12223075,2022,Chiroptera; DNA metabarcoding; eDNA; environmental DNA; high-throughput nucleotide sequencing; pollination,N/A,N/A,N/A
10.7717/peerj.15127,2023,Biodiversity; Fusonaia; Mussel taxonomy; Phylogenetic; Pleurobema; Sipsey River; Unionidae; eDNA metagenomics,"Animals; Dna, Environmental; Ecosystem; Dna Barcoding, Taxonomic; Phylogeny; Alabama; Identity Crisis; Fresh Water; Biodiversity; Bivalvia; Unionidae; Fishes","Dna, Environmental; Bivalvia; Unionidae",Genetics; Methods; Genetics; Genetics
10.1002/ece3.6482,2020,Actinopterygii; Elasmobranchii; environmental DNA; marine fish surveys; metabarcoding,N/A,N/A,N/A
10.1038/s41598-019-44402-0,2019,N/A,"Anguilla; Animal Distribution; Animals; Dna Barcoding, Taxonomic; Dna Primers; Dna, Environmental; Fresh Water; Japan; Mitochondrial Proton-Translocating Atpases; Phylogeny; Polymerase Chain Reaction; Seawater",N/A,Classification; Genetics; Physiology; Methods; Chemical Synthesis; Metabolism; Genetics; Analysis; Genetics; Methods; Analysis
10.1101/gr.849004,2004,N/A,"Amino Acid Sequence; Base Sequence; Computer Graphics; Cyclic Amp Receptor Protein; Dna, Bacterial; Escherichia Coli Proteins; Internet; Nucleic Acid Conformation; Protein Structure, Quaternary; Software",Amino Acid Sequence; Base Sequence; Computer Graphics; Internet; Software,Chemistry; Chemistry; Chemistry
10.1002/ece3.4742,2019,18S rRNA gene; cytochrome c oxidase I; eDNA; monitoring,N/A,N/A,N/A
10.7717/peerj.9508,2020,Biodiversity; Korea; MiFish pipeline; Next-generation sequencing; eDNA metabarcoding,N/A,N/A,N/A
10.1002/ece3.11091,2024,eDNA; metabarcoding; salmon; species detection; stratification,N/A,N/A,N/A
10.1038/s41598-024-66912-2,2024,N/A,"Animals; Fishes; North Sea; Dna, Environmental; Dna Barcoding, Taxonomic; Biodiversity; Ecosystem","Fishes; Dna, Environmental; Dna Barcoding, Taxonomic; Biodiversity",Genetics; Classification; Genetics; Analysis; Methods
10.1098/rspb.2020.2424,2020,climate change; ecosystem response; environmental DNA; metabarcoding; ocean acidification,"Aquatic Organisms; Biota; Carbonates; Dna Barcoding, Taxonomic; Dna, Environmental; Diatoms; Ecosystem; Haptophyta; Hydrogen-Ion Concentration; Plankton; Salinity; Seawater; Temperature","Dna Barcoding, Taxonomic; Dna, Environmental",Physiology
10.1371/journal.pone.0273670,2022,N/A,"Animals; Biodiversity; Dna; Dna, Environmental; Fishes; Oceans And Seas; Perciformes","Dna, Environmental; Perciformes",Analysis; Genetics; Genetics; Genetics; Genetics
10.1371/journal.pone.0185043,2017,N/A,Animals; Aquatic Organisms; Dna; Fishes; Seawater; Sunlight,Aquatic Organisms; Dna; Fishes; Seawater; Sunlight,Analysis; Chemistry; Analysis; Chemistry
10.1038/s41598-023-27512-8,2023,N/A,"Animals; Dna, Environmental; Trees; Soil; Dna Barcoding, Taxonomic; Biodiversity; Mammals; Chiroptera; Environmental Monitoring","Dna, Environmental; Chiroptera",Genetics; Genetics; Methods; Genetics; Genetics; Methods
10.1073/pnas.0707157105,2008,N/A,"Agriculture; Animals; Biodiversity; Cost Allocation; Costs And Cost Analysis; Extinction, Biological; Mammals; Resource Allocation","Biodiversity; Extinction, Biological; Mammals",Economics; Economics
10.1371/journal.pone.0250162,2021,N/A,"Dna, Environmental; Animals; Real-Time Polymerase Chain Reaction; Dna Barcoding, Taxonomic; Filtration; Environmental Monitoring; Rna, Ribosomal; Water; Fishes","Dna, Environmental; Real-Time Polymerase Chain Reaction; Dna Barcoding, Taxonomic; Filtration; Environmental Monitoring",Analysis; Genetics; Methods; Methods; Methods; Genetics; Chemistry; Genetics
10.1002/ece3.8239,2021,PCR replicates; alpha diversity; beta diversity; eDNA; methods; sedaDNA; sequencing depth,N/A,N/A,N/A
10.1002/ece3.2083,2016,Detection probability; PCR; environmental DNA; occupancy modeling,N/A,N/A,N/A
10.1038/s41598-019-47899-7,2019,N/A,"Animals; Aquatic Organisms; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Dna, Ribosomal; Electron Transport Complex Iv; Environmental Monitoring; Geologic Sediments; Metagenomics; United Kingdom; Water",N/A,Genetics; Methods; Analysis; Genetics; Genetics; Genetics; Methods; Analysis; Methods; Analysis
10.1371/journal.pone.0260903,2023,N/A,"Animals; Biological Monitoring; Ecosystem; Fishes; Biodiversity; Dna, Environmental","Biological Monitoring; Dna, Environmental",Genetics; Genetics
10.1002/ece3.10014,2023,Fauna surveys; arid lands; biodiversity; biomonitoring; environmental DNA; metabarcoding; vertebrates,N/A,N/A,N/A
10.1111/1755-0998.13640,2022,DNA barcoding; biotechnology; environmental DNA; fish,"Animals; Biodiversity; Cellulose; Chitosan; Dna Barcoding, Taxonomic; Dna, Environmental; Environmental Monitoring; Fishes","Chitosan; Dna, Environmental",Methods; Methods; Genetics
10.1093/molbev/msad035,2023,database; environmental DNA; fish; genome annotation; mitochondrial genome; web service,"Animals; Dna, Mitochondrial; Databases, Factual; Genome, Mitochondrial; Mitochondria; Software","Dna, Mitochondrial; Genome, Mitochondrial",N/A
10.1038/s41598-019-40233-1,2019,N/A,"Animals; Dna; Dna Barcoding, Taxonomic; Polymerase Chain Reaction; Probability; Water",N/A,Analysis; Genetics; Methods; Methods; Chemistry
10.1111/1755-0998.13509,2022,antimetazoan; eDNA; eukaryome; metabarcoding; microeukaryote; symbiome,"Animals; Dna, Environmental; Ecosystem; Eukaryota; Eukaryotic Cells; Rna, Ribosomal, 18S","Dna, Environmental; Eukaryota",Genetics; Genetics
10.1101/gr.151803.112,2013,N/A,"Adult; Aging; Bacteria; Biodiversity; Crohn Disease; Dna, Bacterial; Feces; Female; Humans; Infant; Metagenome; Metagenomics; Microbiota; Pregnancy; Pregnancy Trimester, First; Rna, Ribosomal, 16S; Sequence Analysis, Dna",Microbiota,Classification; Genetics; Epidemiology; Genetics; Microbiology; Genetics; Microbiology; Methods; Genetics
10.1111/1755-0998.13677,2022,eDNA; fish biodiversity; metabarcoding; natural sampler; nsDNA; porifera,"Animals; Biodiversity; Dna Barcoding, Taxonomic; Dna, Environmental; Ecosystem; Environmental Monitoring; Fishes; Water","Dna, Environmental",Methods; Genetics; Methods; Genetics
10.1016/j.dib.2024.110541,2024,Coastal India; Environmental DNA; High-throughput sequencing; Illumina platform; Metabarcoding; Tropical,N/A,N/A,N/A
10.1038/s41467-024-48640-3,2024,N/A,"Biodiversity; Rivers; Dna, Environmental; Dna Barcoding, Taxonomic; Animals; Fishes; Europe; Ecosystem; North America; Spatio-Temporal Analysis; Seasons","Biodiversity; Rivers; Dna, Environmental; Dna Barcoding, Taxonomic; Fishes; Ecosystem",Genetics; Analysis; Methods; Genetics; Classification
10.1371/journal.pone.0291187,2023,N/A,"Animals; Whales; Dna; Dna, Environmental; Dolphins; Porpoises; Polymerase Chain Reaction; Acoustics","Dna, Environmental; Dolphins; Porpoises",Genetics; Genetics; Genetics
10.1371/journal.pone.0301197,2024,N/A,"Animals; Dna, Environmental; Fishes; Biodiversity; Rivers; Water; Environmental Monitoring; Dna Barcoding, Taxonomic; Ecosystem","Dna, Environmental",Genetics; Methods; Methods
10.1186/s12859-018-2320-1,2018,Bacterial genome; Metabarcoding; Metagenome; NGS; Software tool,"Algorithms; Bacteria; Base Sequence; Dna Barcoding, Taxonomic; Genes, Bacterial; Genetic Markers; Humans; Metagenome; Metagenomics; Microbiota; Phylogeny; Roc Curve; Reproducibility Of Results; Sample Size; Software; Species Specificity; Whole Genome Sequencing","Genes, Bacterial; Software",Genetics; Methods; Genetics; Methods; Genetics
